City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Kavaratti,IN,2021-11-02 10:42:31,10.5669,72.642,82.08,73,86,5.06,moderate rain
161,Kahului,US,2021-11-02 10:42:31,20.8947,-156.47,75.85,90,90,3.44,overcast clouds
162,Talca,CL,2021-11-02 10:40:20,-35.4333,-71.6667,56.16,56,2,2.39,clear sky
163,Mar Del Plata,AR,2021-11-02 10:42:25,-38.0023,-57.5575,61.09,97,90,8.01,drizzle
164,Touros,BR,2021-11-02 10:40:12,-5.1989,-35.4608,83.3,66,43,14.03,scattered clouds
165,Santa Maria Da Vitoria,BR,2021-11-02 10:42:32,-13.3947,-44.1886,72.48,92,100,5.03,light rain
166,Upernavik,GL,2021-11-02 10:42:32,72.7868,-56.1549,21.16,90,99,9.66,overcast clouds
167,Ordzhonikidze,KZ,2021-11-02 10:41:15,52.4411,61.7408,29.03,51,93,17.49,overcast clouds
168,Leningradskiy,RU,2021-11-02 10:42:33,69.3833,178.4167,-9.44,81,59,7.7,broken clouds
169,Currais Novos,BR,2021-11-02 10:42:33,-6.2608,-36.5178,81.41,56,25,16.11,scattered clouds
170,Port Hardy,CA,2021-11-02 10:42:33,50.6996,-127.4199,48.2,87,75,19.57,broken clouds
171,Isla Vista,US,2021-11-02 10:42:34,34.4133,-119.861,58.42,91,75,3.44,broken clouds
172,Yashkul,RU,2021-11-02 10:42:34,46.1711,45.3435,62.98,35,86,12.82,overcast clouds
173,Bethel,US,2021-11-02 10:38:00,41.3712,-73.414,47.05,81,90,0.0,overcast clouds
174,Bridlington,GB,2021-11-02 10:41:49,54.0831,-0.1919,49.28,70,99,9.57,overcast clouds
175,Florianopolis,BR,2021-11-02 10:42:35,-27.6146,-48.5012,72.63,95,75,3.44,broken clouds
176,Zimnicea,RO,2021-11-02 10:42:35,43.6667,25.3667,63.25,54,100,8.19,overcast clouds
177,San Patricio,US,2021-11-02 10:42:36,28.017,-97.5169,75.81,79,4,5.3,clear sky
178,Pangnirtung,CA,2021-11-02 10:42:36,66.1451,-65.7125,18.07,76,100,9.22,overcast clouds
179,Yar-Sale,RU,2021-11-02 10:42:36,66.8333,70.8333,7.68,92,99,6.02,overcast clouds
180,Sept-Iles,CA,2021-11-02 10:40:44,50.2001,-66.3821,43.23,70,75,15.99,broken clouds
181,Amapa,BR,2021-11-02 10:42:37,1.0,-52.0,75.29,94,51,2.24,broken clouds
182,Coihueco,CL,2021-11-02 10:41:55,-36.6167,-71.8333,39.94,59,35,1.14,scattered clouds
183,Auxerre,FR,2021-11-02 10:42:37,47.8,3.5667,49.86,70,80,14.7,broken clouds
184,Cuiluan,CN,2021-11-02 10:42:37,47.72,128.648,31.8,82,21,3.06,few clouds
185,Shihezi,CN,2021-11-02 10:42:38,44.3,86.0333,52.02,42,18,2.91,few clouds
186,Nizhnyaya Omka,RU,2021-11-02 10:42:38,55.4338,74.9426,10.92,84,13,12.44,few clouds
187,Lebanon,US,2021-11-02 10:42:39,36.2081,-86.2911,48.09,78,90,8.05,overcast clouds
188,Port Hedland,AU,2021-11-02 10:42:39,-20.3167,118.5667,77.05,50,10,16.11,clear sky
189,Mahebourg,MU,2021-11-02 10:42:39,-20.4081,57.7,80.26,65,40,13.8,scattered clouds
190,Bela Vista,BR,2021-11-02 10:42:40,-22.1089,-56.5211,76.91,65,12,5.7,few clouds
191,Walvis Bay,NA,2021-11-02 10:42:40,-22.9575,14.5053,72.55,46,0,3.44,clear sky
192,Griffith,US,2021-11-02 10:42:40,41.5284,-87.4237,36.63,80,1,4.61,clear sky
193,Rockport,US,2021-11-02 10:42:41,28.0206,-97.0544,77.0,86,40,3.44,scattered clouds
194,Saint-Philippe,RE,2021-11-02 10:42:41,-21.3585,55.7679,81.99,76,44,5.5,scattered clouds
195,Namatanai,PG,2021-11-02 10:42:41,-3.6667,152.4333,80.53,80,86,5.01,overcast clouds
196,Honiara,SB,2021-11-02 10:42:42,-9.4333,159.95,78.8,88,60,4.25,moderate rain
197,Nelson Bay,AU,2021-11-02 10:42:42,-32.7167,152.15,68.0,75,1,3.0,clear sky
198,Port Blair,IN,2021-11-02 10:42:42,11.6667,92.75,82.81,75,100,6.44,overcast clouds
199,Lhokseumawe,ID,2021-11-02 10:42:43,5.1801,97.1507,81.84,78,61,6.8,broken clouds
200,Makaryev,RU,2021-11-02 10:42:43,57.8797,43.8069,45.43,76,62,8.79,broken clouds
201,Broome,US,2021-11-02 10:42:43,42.2506,-75.833,41.0,72,75,0.0,broken clouds
202,Leeton,AU,2021-11-02 10:42:44,-34.5667,146.4,75.25,35,79,9.22,broken clouds
203,Norman Wells,CA,2021-11-02 10:42:19,65.282,-126.8329,5.04,85,90,2.3,mist
204,Kathmandu,NP,2021-11-02 10:38:42,27.7167,85.3167,68.22,56,20,6.91,few clouds
205,Ponta Do Sol,PT,2021-11-02 10:42:44,32.6667,-17.1,76.01,61,86,3.78,overcast clouds
206,Oranjemund,NA,2021-11-02 10:42:45,-28.55,16.4333,66.09,51,27,18.5,scattered clouds
207,Kulhudhuffushi,MV,2021-11-02 10:42:45,6.6221,73.07,81.03,77,98,7.9,overcast clouds
208,Baiyin,CN,2021-11-02 10:39:09,36.5583,104.2081,49.08,39,100,6.69,overcast clouds
209,Victoria,HK,2021-11-02 10:38:15,22.2855,114.1577,80.56,78,36,1.01,scattered clouds
210,Chumikan,RU,2021-11-02 10:42:46,54.7183,135.315,26.56,73,27,8.59,scattered clouds
211,Mbalmayo,CM,2021-11-02 10:42:46,3.5167,11.5,84.52,52,70,3.02,broken clouds
212,Saint-Francois,FR,2021-11-02 10:42:46,46.4154,3.9054,54.68,66,75,9.22,broken clouds
213,Tevriz,RU,2021-11-02 10:42:47,57.509,72.4042,13.78,81,97,8.34,overcast clouds
214,Inhambane,MZ,2021-11-02 10:42:47,-23.865,35.3833,87.78,66,0,18.41,clear sky
215,Kastamonu,TR,2021-11-02 10:42:47,41.5,33.6667,51.82,43,0,7.31,clear sky
216,Qianan,CN,2021-11-02 10:42:47,44.9932,124.0581,42.82,27,93,11.74,overcast clouds
217,Cap Malheureux,MU,2021-11-02 10:42:48,-19.9842,57.6142,80.47,68,5,8.01,clear sky
218,Hamilton,US,2021-11-02 10:42:48,39.1834,-84.5333,42.24,78,90,1.01,overcast clouds
219,Kusti,SD,2021-11-02 10:42:48,13.1629,32.6635,102.49,18,95,3.85,overcast clouds
220,Stephenville,US,2021-11-02 10:42:49,32.2207,-98.2023,56.75,89,75,6.91,broken clouds
221,Korla,CN,2021-11-02 10:42:49,41.7597,86.1469,52.41,24,0,5.88,clear sky
222,Nizwa,OM,2021-11-02 10:42:50,22.9333,57.5333,92.23,12,4,1.72,clear sky
223,Ilulissat,GL,2021-11-02 10:42:50,69.2167,-51.1,30.22,86,75,2.3,light snow
224,Sindou,BF,2021-11-02 10:42:50,10.6667,-5.1667,90.54,45,68,3.2,broken clouds
225,Kutum,SD,2021-11-02 10:42:51,14.2,24.6667,87.75,18,53,16.44,broken clouds
226,Redmond,US,2021-11-02 10:38:40,47.674,-122.1215,50.11,89,51,3.0,broken clouds
227,Presidente Epitacio,BR,2021-11-02 10:42:51,-21.7633,-52.1156,72.91,71,28,8.48,scattered clouds
228,Svetlyy,RU,2021-11-02 10:42:52,54.675,20.1347,49.96,60,29,12.71,scattered clouds
229,Longyearbyen,SJ,2021-11-02 10:42:52,78.2186,15.6401,13.84,67,40,13.8,scattered clouds
230,Soyo,AO,2021-11-02 10:42:52,-6.1349,12.3689,82.45,70,100,5.5,overcast clouds
231,Port-Gentil,GA,2021-11-02 10:42:53,-0.7193,8.7815,82.36,74,75,4.61,moderate rain
232,Saryozek,KZ,2021-11-02 10:42:53,44.3583,77.9753,50.16,42,25,9.15,scattered clouds
233,Buchanan,LR,2021-11-02 10:42:54,5.8808,-10.0467,82.36,67,37,2.62,scattered clouds
234,Harper,LR,2021-11-02 10:42:54,4.375,-7.7169,82.45,71,27,2.98,light rain
235,Telemaco Borba,BR,2021-11-02 10:42:54,-24.3239,-50.6156,64.89,87,85,2.82,overcast clouds
236,Verkhniye Achaluki,RU,2021-11-02 10:42:55,43.3469,44.6975,50.45,100,75,6.71,broken clouds
237,Kodiak,US,2021-11-02 10:42:55,57.79,-152.4072,34.92,68,27,9.55,scattered clouds
238,Evanston,US,2021-11-02 10:42:55,42.0411,-87.6901,34.47,73,20,1.99,few clouds
239,Yeppoon,AU,2021-11-02 10:42:56,-23.1333,150.7333,73.18,66,17,19.04,few clouds
240,Lasa,IT,2021-11-02 10:42:56,46.6166,10.7002,48.69,76,26,0.89,scattered clouds
241,Laguna,US,2021-11-02 10:42:57,38.421,-121.4238,61.09,94,90,0.0,mist
242,Jinchang,CN,2021-11-02 10:42:57,38.4953,102.1739,46.29,32,32,4.92,scattered clouds
243,Kitimat,CA,2021-11-02 10:41:35,54.0524,-128.6534,36.91,29,100,2.08,light rain
244,Sakhipur,BD,2021-11-02 10:42:57,24.3,90.1833,85.87,67,50,4.18,scattered clouds
245,Faanui,PF,2021-11-02 10:42:58,-16.4833,-151.75,78.58,83,100,8.66,light rain
246,Ahipara,NZ,2021-11-02 10:42:58,-35.1667,173.1667,56.35,84,74,11.65,light rain
247,Meulaboh,ID,2021-11-02 10:42:58,4.1363,96.1285,79.61,83,99,2.71,overcast clouds
248,Matara,LK,2021-11-02 10:42:59,5.9485,80.5353,83.12,74,52,8.7,broken clouds
249,Sorland,NO,2021-11-02 10:42:59,67.667,12.6934,51.87,85,90,14.45,overcast clouds
250,Hobyo,SO,2021-11-02 10:42:59,5.3505,48.5268,84.42,59,82,11.92,broken clouds
251,Haines Junction,CA,2021-11-02 10:43:00,60.7522,-137.5108,19.35,86,14,1.14,few clouds
252,Dalianwan,CN,2021-11-02 10:43:00,39.0286,121.695,57.72,67,87,2.24,light rain
253,Wyndham,US,2021-11-02 10:43:00,37.6985,-77.6125,49.12,92,75,1.99,broken clouds
254,Ouadda,CF,2021-11-02 10:43:01,8.0777,22.4007,87.62,48,43,4.14,scattered clouds
255,Kavieng,PG,2021-11-02 10:43:01,-2.5744,150.7967,82.18,74,99,3.49,overcast clouds
256,Codrington,AU,2021-11-02 10:43:02,-38.2667,141.9667,74.12,35,100,14.43,overcast clouds
257,Saint Anthony,US,2021-11-02 10:43:02,45.0205,-93.218,33.93,78,1,1.01,clear sky
258,Bumba,CD,2021-11-02 10:43:03,2.1833,22.4667,84.51,55,99,3.47,overcast clouds
259,Coolum Beach,AU,2021-11-02 10:43:03,-26.5333,153.1,70.11,77,26,1.01,scattered clouds
260,Sulangan,PH,2021-11-02 10:43:04,11.1373,123.7228,79.05,91,100,20.2,overcast clouds
261,Yumen,CN,2021-11-02 10:43:04,40.2833,97.2,44.49,27,6,12.3,clear sky
